Date,Open,High,Low,Close,Adj Close,Volume
2015-10-16,20.980000,20.980000,20.980000,20.980000,18.829353,0
2015-10-19,20.969999,20.969999,20.969999,20.969999,18.820379,0
2015-10-20,20.959999,20.959999,20.959999,20.959999,18.811399,0
2015-10-21,20.920000,20.920000,20.920000,20.920000,18.775507,0
2015-10-22,21.340000,21.340000,21.340000,21.340000,19.152451,0
2015-10-23,21.450001,21.450001,21.450001,21.450001,19.251177,0
2015-10-26,21.440001,21.440001,21.440001,21.440001,19.242201,0
2015-10-27,21.379999,21.379999,21.379999,21.379999,19.188347,0
2015-10-28,21.490000,21.490000,21.490000,21.490000,19.287077,0
2015-10-29,21.469999,21.469999,21.469999,21.469999,19.269121,0
2015-10-30,21.350000,21.350000,21.350000,21.350000,19.161427,0
2015-11-02,21.530001,21.530001,21.530001,21.530001,19.322975,0
2015-11-03,21.600000,21.600000,21.600000,21.600000,19.385799,0
2015-11-04,21.540001,21.540001,21.540001,21.540001,19.331945,0
2015-11-05,21.469999,21.469999,21.469999,21.469999,19.269121,0
2015-11-06,21.420000,21.420000,21.420000,21.420000,19.224251,0
2015-11-09,21.219999,21.219999,21.219999,21.219999,19.044750,0
2015-11-10,21.260000,21.260000,21.260000,21.260000,19.080648,0
2015-11-11,21.180000,21.180000,21.180000,21.180000,19.008852,0
2015-11-12,20.900000,20.900000,20.900000,20.900000,18.757559,0
2015-11-13,20.719999,20.719999,20.719999,20.719999,18.596012,0
2015-11-16,21.070000,21.070000,21.070000,21.070000,18.910128,0
2015-11-17,21.070000,21.070000,21.070000,21.070000,18.910128,0
2015-11-18,21.309999,21.309999,21.309999,21.309999,19.125526,0
2015-11-19,21.330000,21.330000,21.330000,21.330000,19.143475,0
2015-11-20,21.430000,21.430000,21.430000,21.430000,19.233225,0
2015-11-23,21.440001,21.440001,21.440001,21.440001,19.242201,0
2015-11-24,21.480000,21.480000,21.480000,21.480000,19.278099,0
2015-11-25,21.500000,21.500000,21.500000,21.500000,19.296051,0
2015-11-27,21.530001,21.530001,21.530001,21.530001,19.322975,0
2015-11-30,21.410000,21.410000,21.410000,21.410000,19.215275,0
2015-12-01,21.580000,21.580000,21.580000,21.580000,19.367847,0
2015-12-02,21.420000,21.420000,21.420000,21.420000,19.224251,0
2015-12-03,21.209999,21.209999,21.209999,21.209999,19.035778,0
2015-12-04,21.600000,21.600000,21.600000,21.600000,19.385799,0
2015-12-07,21.530001,21.530001,21.530001,21.530001,19.322975,0
2015-12-08,21.360001,21.360001,21.360001,21.360001,19.170401,0
2015-12-09,21.170000,21.170000,21.170000,21.170000,18.999880,0
2015-12-10,21.200001,21.200001,21.200001,21.200001,19.026804,0
2015-12-11,20.900000,20.900000,20.900000,20.900000,18.757559,0
2015-12-14,21.010000,21.010000,21.010000,21.010000,18.856279,0
2015-12-15,21.120001,21.120001,21.120001,21.120001,18.955004,0
2015-12-16,21.440001,21.440001,21.440001,21.440001,19.242201,0
2015-12-17,21.139999,21.139999,21.139999,21.139999,18.972952,0
2015-12-18,20.790001,20.790001,20.790001,20.790001,18.658833,0
2015-12-21,20.969999,20.969999,20.969999,20.969999,18.820379,0
2015-12-22,21.090000,21.090000,21.090000,21.090000,19.045238,0
2015-12-23,21.299999,21.299999,21.299999,21.299999,19.234877,0
2015-12-24,21.280001,21.280001,21.280001,21.280001,19.216816,0
2015-12-28,21.240000,21.240000,21.240000,21.240000,19.180695,0
2015-12-29,21.450001,21.450001,21.450001,21.450001,19.370333,0
2015-12-30,21.330000,21.330000,21.330000,21.330000,19.261967,0
2015-12-31,21.110001,21.110001,21.110001,21.110001,19.063295,0
2016-01-04,20.809999,20.809999,20.809999,20.809999,18.792381,0
2016-01-05,20.879999,20.879999,20.879999,20.879999,18.855593,0
2016-01-06,20.639999,20.639999,20.639999,20.639999,18.638868,0
2016-01-07,20.260000,20.260000,20.260000,20.260000,18.295708,0
2016-01-08,20.049999,20.049999,20.049999,20.049999,18.106068,0
2016-01-11,20.080000,20.080000,20.080000,20.080000,18.133163,0
2016-01-12,20.240000,20.240000,20.240000,20.240000,18.277649,0
2016-01-13,19.870001,19.870001,19.870001,19.870001,17.943527,0
2016-01-14,20.070000,20.070000,20.070000,20.070000,18.124130,0
2016-01-15,19.709999,19.709999,19.709999,19.709999,17.799028,0
2016-01-19,19.780001,19.780001,19.780001,19.780001,17.862249,0
2016-01-20,19.559999,19.559999,19.559999,19.559999,17.663574,0
2016-01-21,19.670000,19.670000,19.670000,19.670000,17.762911,0
2016-01-22,19.990000,19.990000,19.990000,19.990000,18.051886,0
2016-01-25,19.770000,19.770000,19.770000,19.770000,17.853220,0
2016-01-26,20.059999,20.059999,20.059999,20.059999,18.115099,0
2016-01-27,19.980000,19.980000,19.980000,19.980000,18.042854,0
2016-01-28,20.059999,20.059999,20.059999,20.059999,18.115099,0
